City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Celestun,MX,71.94,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
5,Atuona,PF,78.28,few clouds,-9.8,-139.0333,Pearl Resort
7,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
8,Rikitea,PF,77.83,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
11,Port Elizabeth,ZA,72.32,mist,-33.918,25.5701,Waterford Hotel
16,Kawalu,ID,82.22,broken clouds,-7.3817,108.2082,Hotel Surya
18,Hobart,AU,83.26,scattered clouds,-42.8794,147.3294,Vibe Hotel Hobart
22,New Norfolk,AU,82.92,broken clouds,-42.7826,147.0587,Woodbridge on the Derwent
23,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Grand Bel Air
24,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
25,Pochutla,MX,70.95,clear sky,15.7432,-96.4661,Posada San Jose
30,Gorontalo,ID,89.24,broken clouds,0.5412,123.0595,Grand City Hotel
31,Faanui,PF,81.45,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
35,Betioky,MG,72.84,clear sky,-23.7167,44.3833,Hotel Salema
41,Wonthaggi,AU,82.38,clear sky,-38.6044,145.5913,Wonthaggi Workmens Club
45,Tuy Hoa,VN,72.25,overcast clouds,13.0833,109.3,Vinh Tuan Hotel
46,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Horisun
47,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
59,Hermanus,ZA,72.81,overcast clouds,-34.4187,19.2345,Aloe guest house
66,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
68,Hualmay,PE,70.34,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
69,Kalmunai,LK,78.03,overcast clouds,7.4167,81.8167,Saji new food
77,Pontianak,ID,86.81,overcast clouds,-0.0333,109.3333,Golden Tulip Hotel
90,Kpandu,GH,75.4,few clouds,6.9954,0.2931,Catherine’s Lodge
93,Omboue,GA,77.58,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
94,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
95,Cap Malheureux,MU,79.47,light rain,-19.9842,57.6142,Cape Garden
100,Sao Filipe,CV,76.33,overcast clouds,14.8961,-24.4956,Bela Vista
104,Cantagallo,CO,72.9,few clouds,7.376,-73.9196,Hotel Donde Mary
105,Ribas Do Rio Pardo,BR,74.03,overcast clouds,-20.4431,-53.7592,Hotel São Francisco
108,Conde,BR,76.05,overcast clouds,-7.2597,-34.9075,Paladino
109,Sao Joao Da Barra,BR,75.04,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
111,Cape Town,ZA,72.37,clear sky,-33.9258,18.4232,Townhouse Hotel
115,Hilo,US,78.53,clear sky,19.7297,-155.09,Dolphin Bay Hotel
120,Kahului,US,78.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
121,Pathein,MM,75.11,clear sky,16.7833,94.7333,Taan Taan Ta
122,Kapoeta,SS,75.63,overcast clouds,4.7717,33.5903,Kuleu
123,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
128,Praia,CV,73.94,clear sky,14.9215,-23.5087,Casa Sodadi
136,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Page 63 hostel
137,Mackay,AU,75.69,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
140,Port Blair,IN,75.24,mist,11.6667,92.75,Andaman Ocean Breeze
141,Rantauprapat,ID,81.73,overcast clouds,2.1,99.8333,Hotel Bilah
143,Lima,PE,74.89,overcast clouds,-12.0432,-77.0282,Hotel Peach Garden
151,Linhares,BR,71.06,clear sky,-19.3911,-40.0722,Days Inn Linhares
158,Santa Cruz,BO,72.63,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
163,Kuching,MY,86.22,scattered clouds,1.55,110.3333,Hotel Samudera
172,Kiama,AU,84.38,clear sky,-34.6833,150.8667,Nova Kiama
179,Curup,ID,77.0,overcast clouds,-3.4667,102.5333,Berkah syariah
180,Bengkulu,ID,82.38,broken clouds,-3.8004,102.2655,Dena Hotel
181,Touros,BR,78.26,broken clouds,-5.1989,-35.4608,Pousada Atlântico
183,Mareeba,AU,85.44,overcast clouds,-17.0,145.4333,The Gateway Hotel
193,Lodwar,KE,82.83,overcast clouds,3.1191,35.5973,Lodwar Modern Lodge
198,Port Macquarie,AU,74.89,scattered clouds,-31.4333,152.9167,The Observatory
207,Namatanai,PG,83.41,light rain,-3.6667,152.4333,Namatanai Hotel
209,Aden,YE,75.83,scattered clouds,12.7794,45.0367,فندق قصر الجزيرة
210,Jacmel,HT,73.24,clear sky,18.2342,-72.5347,Hotel L'Amenitie
216,Oistins,BB,77.09,few clouds,13.0667,-59.5333,The Abidah By Accra
221,Meulaboh,ID,78.3,overcast clouds,4.1363,96.1285,Hotel Meuligou
222,Tartagal,AR,82.0,overcast clouds,-22.5164,-63.8013,Majoy
223,Hithadhoo,MV,79.48,scattered clouds,-0.6,73.0833,Pebbles Inn
225,Souillac,MU,77.54,broken clouds,-20.5167,57.5167,Hotel SkylineInn
227,Sambava,MG,73.35,light rain,-14.2667,50.1667,Royal Sava Hôtel
232,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
233,Galapa,CO,78.06,few clouds,10.8969,-74.886,Hotel Plaza Real
234,Cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Central Hôtel
241,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Hotel Barlovento
246,Rio Grande,BR,70.61,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
249,The Valley,AI,75.09,few clouds,18.217,-63.0578,CeBlue
256,Matara,LK,76.73,heavy intensity rain,5.9485,80.5353,Villa Palm Breeze
258,Trinidad,BO,72.84,broken clouds,-14.8333,-64.9,Hotel Palace
262,Kapaa,US,79.12,clear sky,22.0752,-159.319,Pono Kai Resort
265,Anloga,GH,80.65,clear sky,5.7947,0.8973,Hotel de White House
280,Lorengau,PG,83.61,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
282,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,Ibis Styles
287,Kavieng,PG,83.28,overcast clouds,-2.5744,150.7967,Kavieng Hotel
288,Itarema,BR,75.34,overcast clouds,-2.9248,-39.9167,Pousada Oásis
289,Mar Del Plata,AR,72.09,clear sky,-38.0023,-57.5575,Nuevo Ostende
290,Ahipara,NZ,70.68,scattered clouds,-35.1667,173.1667,YHA Ahipara
292,Te Anau,NZ,73.83,scattered clouds,-45.4167,167.7167,Lakeside Motels & Apartments
296,Kilindoni,TZ,80.22,light rain,-7.9139,39.6668,Ibizza Inn
