City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,36.72,50,0,6.91,clear sky
1,Nongan,CN,44.382,125.1685,14.14,39,5,12.3,clear sky
2,Bonthe,SL,7.5264,-12.505,74.48,90,13,4.76,few clouds
3,Florence,IT,43.7667,11.25,52.59,80,75,2.3,broken clouds
4,Celestun,MX,20.8667,-90.4,71.94,66,58,11.45,broken clouds
5,Atuona,PF,-9.8,-139.0333,78.28,76,11,16.98,few clouds
6,Storm Lake,US,42.6411,-95.2097,33.3,100,100,16.11,light snow
7,Avarua,CK,-21.2078,-159.775,82.45,65,75,8.05,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,77.83,69,2,6.04,clear sky
9,San Cristobal,VE,7.7669,-72.225,68.18,94,55,2.42,broken clouds
10,Batagay-Alyta,RU,67.8006,130.4114,-27.94,99,100,2.51,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,72.32,97,100,8.05,mist
12,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,6.91,clear sky
13,Guerrero Negro,MX,27.9769,-114.0611,64.76,76,100,10.33,overcast clouds
14,Waddan,LY,29.1614,16.139,51.12,44,0,5.35,clear sky
15,Lagoa,PT,39.05,-27.9833,58.14,75,100,12.88,overcast clouds
16,Kawalu,ID,-7.3817,108.2082,82.22,73,79,2.89,broken clouds
17,Ribeira Grande,PT,38.5167,-28.7,57.83,73,94,11.39,overcast clouds
18,Hobart,AU,-42.8794,147.3294,83.26,51,40,13.8,scattered clouds
19,Asau,RO,46.4333,26.4,34.72,75,62,5.19,broken clouds
20,Nefteyugansk,RU,61.0998,72.6035,9.55,95,100,9.78,overcast clouds
21,Evans,US,33.5337,-82.1307,53.31,57,100,1.99,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,82.92,21,58,2.66,broken clouds
23,Mahebourg,MU,-20.4081,57.7,79.25,73,40,12.66,scattered clouds
24,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,40,11.9,scattered clouds
25,Pochutla,MX,15.7432,-96.4661,70.95,92,4,3.94,clear sky
26,Thompson,CA,55.7435,-97.8558,10.56,85,100,2.3,light snow
27,Barrow,US,71.2906,-156.7887,-18.38,69,100,16.11,haze
28,Hit,IQ,33.6416,42.8251,50.67,73,95,8.14,overcast clouds
29,Albany,US,42.6001,-73.9662,28.27,68,8,5.21,clear sky
30,Gorontalo,ID,0.5412,123.0595,89.24,59,51,3.0,broken clouds
31,Faanui,PF,-16.4833,-151.75,81.45,61,91,15.61,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,48.31,49,0,18.41,clear sky
33,San Patricio,US,28.017,-97.5169,67.86,81,0,3.91,clear sky
34,Finote Selam,ET,10.7,37.2667,55.27,70,9,3.33,clear sky
35,Betioky,MG,-23.7167,44.3833,72.84,66,0,8.84,clear sky
36,Port Alfred,ZA,-33.5906,26.891,73.18,99,100,7.38,overcast clouds
37,Busselton,AU,-33.65,115.3333,69.84,32,0,8.08,clear sky
38,Provideniya,RU,64.3833,-173.3,3.31,60,75,26.84,broken clouds
39,Lavrentiya,RU,65.5833,-171.0,-18.09,91,95,13.78,overcast clouds
40,Bay Roberts,CA,47.5999,-53.2648,50.14,98,100,7.0,light rain
41,Wonthaggi,AU,-38.6044,145.5913,82.38,53,5,0.74,clear sky
42,Butaritari,KI,3.0707,172.7902,80.58,79,19,14.7,light rain
43,East London,ZA,-33.0153,27.9116,73.56,92,100,2.44,overcast clouds
44,Tasiilaq,GL,65.6145,-37.6368,15.62,78,100,8.57,light snow
45,Tuy Hoa,VN,13.0833,109.3,72.25,88,96,12.33,overcast clouds
46,Quatre Cocos,MU,-20.2078,57.7625,79.09,74,40,17.58,scattered clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,75.54,95,52,5.73,broken clouds
48,Mataura,NZ,-46.1927,168.8643,68.02,55,84,7.45,broken clouds
49,Zeitz,DE,51.05,12.15,40.15,77,99,19.15,overcast clouds
50,Buala,SB,-8.145,159.5921,85.1,69,99,4.97,light rain
51,Ust-Kut,RU,56.7938,105.7672,0.48,97,100,3.58,light snow
52,Ushuaia,AR,-54.8,-68.3,46.06,57,40,5.75,scattered clouds
53,Leisure City,US,25.4954,-80.4292,66.0,85,0,2.24,clear sky
54,Raga,SS,8.4596,25.678,65.84,27,19,4.18,few clouds
55,Katangli,RU,51.7102,143.2326,-13.16,90,45,2.59,scattered clouds
56,Alice Springs,AU,-23.7,133.8833,92.75,31,2,9.22,clear sky
57,Khandbari,NP,27.3747,87.2039,54.3,54,47,0.89,scattered clouds
58,Nome,US,64.5011,-165.4064,19.47,73,100,13.8,overcast clouds
59,Hermanus,ZA,-34.4187,19.2345,72.81,86,98,14.07,overcast clouds
60,Biak,ID,-0.9131,122.8766,82.85,70,84,2.51,broken clouds
61,Norman Wells,CA,65.282,-126.8329,5.04,72,100,10.36,light snow
62,Saint George,US,37.1041,-113.5841,49.24,52,27,1.99,scattered clouds
63,Castro,BR,-24.7911,-50.0119,65.32,95,100,2.46,overcast clouds
64,Bambous Virieux,MU,-20.3428,57.7575,79.21,73,40,12.66,scattered clouds
65,Jiancheng,CN,30.391,104.5491,41.18,49,100,1.01,overcast clouds
66,Maceio,BR,-9.6658,-35.7353,74.64,94,40,2.3,scattered clouds
67,Ketchikan,US,55.3422,-131.6461,42.78,96,100,6.46,light rain
68,Hualmay,PE,-11.0964,-77.6139,70.34,77,97,7.52,overcast clouds
69,Kalmunai,LK,7.4167,81.8167,78.03,78,89,11.45,overcast clouds
70,Berlevag,NO,70.8578,29.0864,33.8,80,75,11.5,broken clouds
71,Ponta Do Sol,PT,32.6667,-17.1,59.63,60,28,3.69,scattered clouds
72,Bluff,NZ,-46.6,168.3333,59.07,79,83,12.91,broken clouds
73,Khatanga,RU,71.9667,102.5,-40.11,99,25,6.53,scattered clouds
74,Sola,VU,-13.8833,167.55,82.08,73,72,14.94,broken clouds
75,Lebu,CL,-37.6167,-73.65,55.36,90,2,15.97,clear sky
76,Iqaluit,CA,63.7506,-68.5145,-24.07,69,0,0.0,clear sky
77,Pontianak,ID,-0.0333,109.3333,86.81,56,96,3.15,overcast clouds
78,Esperance,AU,-33.8667,121.9,63.37,54,94,14.56,overcast clouds
79,Nhulunbuy,AU,-12.2333,136.7667,90.21,66,75,9.22,broken clouds
80,Ostrovnoy,RU,68.0531,39.5131,30.11,86,63,24.76,broken clouds
81,Labuhan,ID,-6.8844,112.2051,83.89,71,100,5.7,overcast clouds
82,Biltine,TD,14.5333,20.9167,65.25,22,15,10.36,few clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,69.62,76,88,9.69,overcast clouds
84,Coihaique,CL,-45.5752,-72.0662,56.01,71,0,2.3,clear sky
85,Rehti,IN,22.7333,77.4333,56.07,40,0,5.08,clear sky
86,Bredasdorp,ZA,-34.5322,20.0403,69.89,92,100,15.08,light rain
87,Scottsboro,US,34.6723,-86.0341,59.16,63,100,9.22,overcast clouds
88,Kamaishi,JP,39.2667,141.8833,36.18,43,57,6.24,broken clouds
89,Viseu,PT,40.661,-7.9097,51.85,89,100,21.74,light rain
90,Kpandu,GH,6.9954,0.2931,75.4,77,18,2.62,few clouds
91,Tambovka,RU,50.0969,128.0489,-12.12,96,100,6.26,overcast clouds
92,Broome,US,42.2506,-75.833,27.63,83,26,3.0,scattered clouds
93,Omboue,GA,-1.5746,9.2618,77.58,85,100,4.74,overcast clouds
94,Vaini,TO,-21.2,-175.2,84.36,74,75,8.05,broken clouds
95,Cap Malheureux,MU,-19.9842,57.6142,79.47,67,19,8.99,light rain
96,Yellowknife,CA,62.456,-114.3525,7.32,85,100,10.36,light snow
97,Suleja,NG,9.1758,7.1808,73.22,20,83,6.31,broken clouds
98,Erenhot,CN,43.6475,111.9767,6.66,74,7,11.21,clear sky
99,Hasaki,JP,35.7333,140.8333,44.22,52,98,8.55,overcast clouds
100,Sao Filipe,CV,14.8961,-24.4956,76.33,63,100,5.66,overcast clouds
101,Talnakh,RU,69.4865,88.3972,-34.46,84,3,3.76,clear sky
102,Lompoc,US,34.6391,-120.4579,48.52,92,100,12.66,overcast clouds
103,Severo-Kurilsk,RU,50.6789,156.125,23.65,69,83,14.54,broken clouds
104,Cantagallo,CO,7.376,-73.9196,72.9,94,11,1.54,few clouds
105,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,74.03,85,99,1.28,overcast clouds
106,Nemuro,JP,43.3236,145.575,22.33,55,43,8.23,scattered clouds
107,Broxburn,GB,55.9342,-3.4713,29.82,85,44,5.64,scattered clouds
108,Conde,BR,-7.2597,-34.9075,76.05,81,100,5.68,overcast clouds
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.04,90,1,14.76,clear sky
110,Murdochville,CA,48.9583,-65.5006,23.58,97,100,10.42,heavy snow
111,Cape Town,ZA,-33.9258,18.4232,72.37,76,0,10.36,clear sky
112,Xinxiang,CN,35.3089,113.8672,35.65,39,69,2.06,broken clouds
113,Merritt,CA,50.1123,-120.7942,37.33,73,99,2.75,overcast clouds
114,Methoni,GR,36.8197,21.7049,60.22,74,74,18.79,broken clouds
115,Hilo,US,19.7297,-155.09,78.53,78,0,14.97,clear sky
116,Chokurdakh,RU,70.6333,147.9167,-23.28,95,93,11.79,overcast clouds
117,Saskylakh,RU,71.9167,114.0833,-24.16,98,55,7.4,broken clouds
118,Victoria,HK,22.2855,114.1577,57.33,77,99,10.0,overcast clouds
119,Zhangye,CN,38.9342,100.4517,11.5,64,61,4.52,broken clouds
120,Kahului,US,20.8947,-156.47,78.84,82,91,3.0,overcast clouds
121,Pathein,MM,16.7833,94.7333,75.11,46,3,7.83,clear sky
122,Kapoeta,SS,4.7717,33.5903,75.63,40,100,2.17,overcast clouds
123,Geraldton,AU,-28.7667,114.6,81.01,34,0,16.11,clear sky
124,Port Hedland,AU,-20.3167,118.5667,91.45,58,91,14.97,overcast clouds
125,Florida Ridge,US,27.5803,-80.3867,56.95,93,0,0.0,clear sky
126,Mahanje,TZ,-9.9333,35.3333,61.23,97,96,1.9,overcast clouds
127,Verkhnevilyuysk,RU,63.4453,120.3167,-48.23,100,96,0.78,overcast clouds
128,Praia,CV,14.9215,-23.5087,73.94,68,0,16.11,clear sky
129,Arraial Do Cabo,BR,-22.9661,-42.0278,73.78,91,1,21.18,clear sky
130,Rabat,MA,33.9911,-6.8401,50.16,93,40,5.75,scattered clouds
131,Taltal,CL,-25.4,-70.4833,65.8,83,6,2.26,clear sky
132,Zanjan,IR,36.6736,48.4787,28.08,90,81,1.5,broken clouds
133,Nikolskoye,RU,59.7035,30.7861,33.69,91,100,8.32,overcast clouds
134,Ginda,IN,30.6945,78.4932,41.5,18,4,5.08,clear sky
135,Carnarvon,AU,-24.8667,113.6333,80.51,46,0,20.51,clear sky
136,Georgetown,MY,5.4112,100.3354,84.13,73,20,10.36,few clouds
137,Mackay,AU,-21.15,149.2,75.69,95,100,14.92,light rain
138,Koygorodok,RU,60.445,50.9968,11.95,87,85,10.8,overcast clouds
139,Portland,US,45.5234,-122.6762,47.34,85,95,4.0,overcast clouds
140,Port Blair,IN,11.6667,92.75,75.24,78,40,2.3,mist
141,Rantauprapat,ID,2.1,99.8333,81.73,68,99,4.59,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,-6.32,98,99,6.38,overcast clouds
143,Lima,PE,-12.0432,-77.0282,74.89,62,98,8.21,overcast clouds
144,Korla,CN,41.7597,86.1469,5.79,94,79,3.04,broken clouds
145,Kasongo-Lunda,CD,-6.4667,16.8167,67.42,97,100,2.13,overcast clouds
146,Chuy,UY,-33.6971,-53.4616,66.94,82,0,7.94,clear sky
147,Ilulissat,GL,69.2167,-51.1,-17.88,80,94,7.38,overcast clouds
148,Kurskaya,RU,44.05,44.45,32.76,90,97,6.6,overcast clouds
149,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,44.29,50,0,6.85,clear sky
150,Dunedin,NZ,-45.8742,170.5036,63.81,66,50,4.0,scattered clouds
151,Linhares,BR,-19.3911,-40.0722,71.06,96,7,0.49,clear sky
152,Taoudenni,ML,22.6783,-3.9836,62.56,24,77,7.67,broken clouds
153,Salalah,OM,17.0151,54.0924,67.51,83,69,3.02,broken clouds
154,Fort Nelson,CA,58.8053,-122.7002,-1.03,100,79,0.6,broken clouds
155,Fortuna,US,40.5982,-124.1573,46.98,93,100,4.61,overcast clouds
156,La Ronge,CA,55.1001,-105.2842,2.01,99,100,2.66,overcast clouds
157,Belmonte,BR,-15.8631,-38.8828,74.52,88,18,4.23,few clouds
158,Santa Cruz,BO,-17.8,-63.1667,72.63,87,78,6.82,broken clouds
159,Parede,PT,38.6928,-9.3541,58.75,87,97,21.0,overcast clouds
160,Nuuk,GL,64.1835,-51.7216,12.99,75,100,11.14,light snow
161,Itanagar,IN,27.1,93.6167,63.1,50,11,2.44,few clouds
162,Joshimath,IN,30.5667,79.5667,40.06,29,71,5.17,broken clouds
163,Kuching,MY,1.55,110.3333,86.22,75,40,2.3,scattered clouds
164,Kitui,KE,-1.367,38.0106,58.73,91,21,0.98,few clouds
165,Lanskroun,CZ,49.9122,16.6119,36.16,82,92,9.57,overcast clouds
166,Rawson,AR,-43.3002,-65.1023,64.31,63,100,8.48,overcast clouds
167,Kavaratti,IN,10.5669,72.642,79.36,74,29,9.01,scattered clouds
168,Belyy Yar,RU,53.6039,91.3903,17.49,72,0,15.66,clear sky
169,Hirara,JP,24.8,125.2833,64.62,70,94,17.27,overcast clouds
170,Tsumeb,NA,-19.2333,17.7167,65.88,81,100,7.94,overcast clouds
171,Klaksvik,FO,62.2266,-6.589,29.32,61,100,20.85,overcast clouds
172,Kiama,AU,-34.6833,150.8667,84.38,63,1,13.8,clear sky
173,Aktau,KZ,43.65,51.2,28.98,41,80,14.56,broken clouds
174,Banswada,IN,18.3833,77.8833,71.2,40,0,6.87,clear sky
175,Aklavik,CA,68.2191,-135.0107,-21.06,100,89,2.82,overcast clouds
176,Sept-Iles,CA,50.2001,-66.3821,29.05,90,100,4.0,snow
177,Krasnyy Chikoy,RU,50.3643,108.7512,-0.04,88,100,2.08,overcast clouds
178,Claresholm,CA,50.0333,-113.5852,24.67,86,100,1.86,overcast clouds
179,Curup,ID,-3.4667,102.5333,77.0,76,90,1.03,overcast clouds
180,Bengkulu,ID,-3.8004,102.2655,82.38,68,72,4.27,broken clouds
181,Touros,BR,-5.1989,-35.4608,78.26,79,70,9.86,broken clouds
182,Kaitangata,NZ,-46.2817,169.8464,66.11,63,83,12.3,broken clouds
183,Mareeba,AU,-17.0,145.4333,85.44,77,100,6.35,overcast clouds
184,Upernavik,GL,72.7868,-56.1549,-3.14,96,100,5.93,light snow
185,Hearst,CA,49.6835,-83.6665,30.56,97,100,4.92,snow
186,Stornoway,GB,58.2093,-6.3865,32.04,92,75,8.05,light snow
187,Faro,PT,37.0194,-7.9322,56.98,88,40,24.16,scattered clouds
188,Bolobo,CD,-2.1667,16.2333,70.14,92,99,3.49,overcast clouds
189,Boca Do Acre,BR,-8.7522,-67.3978,69.03,99,100,1.19,overcast clouds
190,Chicama,PE,-7.8447,-79.1469,64.94,66,94,4.0,overcast clouds
191,Grindavik,IS,63.8424,-22.4338,28.87,80,20,24.16,few clouds
192,Mount Gambier,AU,-37.8333,140.7667,90.39,25,95,17.9,overcast clouds
193,Lodwar,KE,3.1191,35.5973,82.83,36,100,20.11,overcast clouds
194,Yar-Sale,RU,66.8333,70.8333,6.66,96,100,14.09,light snow
195,Hashtgerd,IR,35.9642,50.6858,34.29,63,0,3.27,clear sky
196,Chaman,PK,30.9236,66.4512,35.74,33,1,3.04,clear sky
197,Kolo,PL,52.2002,18.6387,37.8,90,100,11.25,overcast clouds
198,Port Macquarie,AU,-31.4333,152.9167,74.89,63,45,9.91,scattered clouds
199,Bull Savanna,JM,17.8868,-77.5902,67.33,72,0,3.42,clear sky
200,Hofn,IS,64.2539,-15.2082,32.49,60,100,20.58,overcast clouds
201,Nishihara,JP,26.1842,127.7558,64.06,63,75,14.97,broken clouds
202,Nara,JP,34.6851,135.8049,47.5,33,36,4.29,scattered clouds
203,Dukat,RU,62.55,155.55,-22.59,95,100,3.89,overcast clouds
204,Yerbogachen,RU,61.2767,108.0108,-53.5,99,68,3.71,broken clouds
205,Yarkovo,RU,57.4028,67.0786,7.43,90,61,7.4,broken clouds
206,Rehoboth,NA,-23.3167,17.0833,72.45,52,67,1.39,broken clouds
207,Namatanai,PG,-3.6667,152.4333,83.41,72,100,6.22,light rain
208,Guilin,CN,25.2819,110.2864,40.28,45,99,6.87,overcast clouds
209,Aden,YE,12.7794,45.0367,75.83,70,49,11.88,scattered clouds
210,Jacmel,HT,18.2342,-72.5347,73.24,81,0,4.74,clear sky
211,Hamilton,US,39.1834,-84.5333,47.88,91,100,17.27,overcast clouds
212,Barcelos,PT,41.5388,-8.6151,55.54,86,65,18.52,broken clouds
213,Tazmalt,DZ,36.3868,4.3989,48.18,83,20,8.16,few clouds
214,Tiksi,RU,71.6872,128.8694,-22.05,100,100,7.05,overcast clouds
215,Country Club,US,25.9482,-80.317,60.82,68,0,0.0,clear sky
216,Oistins,BB,13.0667,-59.5333,77.09,78,20,16.11,few clouds
217,Colares,PT,38.7992,-9.4469,58.89,87,100,21.0,overcast clouds
218,Flin Flon,CA,54.7682,-101.865,-3.73,100,77,2.37,broken clouds
219,Pangody,RU,65.85,74.4859,-5.4,98,100,13.78,light snow
220,Kamenka,RU,51.3223,42.7678,23.86,95,100,9.69,overcast clouds
221,Meulaboh,ID,4.1363,96.1285,78.3,77,100,5.1,overcast clouds
222,Tartagal,AR,-22.5164,-63.8013,82.0,35,100,4.23,overcast clouds
223,Hithadhoo,MV,-0.6,73.0833,79.48,67,50,4.59,scattered clouds
224,Tautira,PF,-17.7333,-149.15,79.66,69,89,4.59,overcast clouds
225,Souillac,MU,-20.5167,57.5167,77.54,72,60,15.5,broken clouds
226,Mehamn,NO,71.0357,27.8492,33.75,86,100,0.0,overcast clouds
227,Sambava,MG,-14.2667,50.1667,73.35,89,100,6.04,light rain
228,Lasa,IT,46.6166,10.7002,26.69,84,57,1.66,broken clouds
229,Palmer,US,42.1584,-72.3287,34.25,72,0,4.61,clear sky
230,Cherskiy,RU,68.75,161.3,-34.83,95,100,3.49,overcast clouds
231,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,81,99,6.76,overcast clouds
232,Kununurra,AU,-15.7667,128.7333,87.78,66,40,6.91,scattered clouds
233,Galapa,CO,10.8969,-74.886,78.06,78,20,12.66,few clouds
234,Cayenne,GF,4.9333,-52.3333,73.44,94,75,4.61,broken clouds
235,Yinchuan,CN,38.4681,106.2731,18.01,47,0,2.3,clear sky
236,Kouroussa,GN,10.65,-9.8833,69.03,17,1,4.74,clear sky
237,Pevek,RU,69.7008,170.3133,-31.63,99,14,2.3,few clouds
238,Maun,BW,-19.9833,23.4167,67.68,80,77,4.5,broken clouds
239,Zhigansk,RU,66.7697,123.3711,-58.81,100,71,3.56,broken clouds
240,Nipawin,CA,53.3668,-104.0009,-2.43,100,100,1.14,overcast clouds
241,Puerto Escondido,MX,15.85,-97.0667,79.63,73,75,5.75,broken clouds
242,Mumford,GH,5.2618,-0.759,78.75,85,7,3.6,clear sky
243,Wicklow,IE,53.0,-6.4167,25.05,88,99,3.38,overcast clouds
244,Ajdabiya,LY,30.7554,20.2263,54.28,72,0,9.64,clear sky
245,Itabera,BR,-23.8619,-49.1372,68.97,96,98,3.69,light rain
246,Rio Grande,BR,-32.035,-52.0986,70.61,86,0,10.76,clear sky
247,Jalu,LY,29.0331,21.5482,52.99,65,0,6.24,clear sky
248,Qiongshan,CN,20.0058,110.3542,60.08,82,100,15.14,overcast clouds
249,The Valley,AI,18.217,-63.0578,75.09,79,11,20.13,few clouds
250,Butembo,CD,0.15,29.2833,56.97,61,69,2.3,broken clouds
