City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2023-01-10 13:53:47,72.7868,-56.1549,-20.29,98,100,6.04
1,Adrar,MR,2023-01-10 13:53:48,20.5022,-10.0711,72.79,10,100,15.5
2,Cidreira,BR,2023-01-10 13:53:48,-30.1811,-50.2056,77.32,67,74,11.65
3,Busselton,AU,2023-01-10 13:53:48,-33.65,115.3333,65.12,73,45,13.67
4,Mitu,CO,2023-01-10 13:53:49,1.1983,-70.1733,82.29,68,75,2.33
5,Cape Town,ZA,2023-01-10 13:50:01,-33.9258,18.4232,81.12,46,20,11.5
6,Vaini,TO,2023-01-10 13:53:50,-21.2,-175.2,80.76,89,75,3.44
7,Zhangye,CN,2023-01-10 13:53:50,38.9342,100.4517,29.23,28,6,4.63
8,Mataura,NZ,2023-01-10 13:53:51,-46.1927,168.8643,56.08,100,91,1.9
9,Faanui,PF,2023-01-10 13:53:51,-16.4833,-151.75,76.69,84,100,5.84
10,Darhan,MN,2023-01-10 13:53:52,49.4867,105.9228,11.34,86,9,8.08
11,Provideniya,RU,2023-01-10 13:53:52,64.3833,-173.3,5.94,76,0,11.05
12,Bluff,NZ,2023-01-10 13:53:53,-46.6,168.3333,59.23,94,90,6.22
13,Tasiilaq,GL,2023-01-10 13:53:53,65.6145,-37.6368,3.88,52,6,4.41
14,Sandwick,GB,2023-01-10 13:53:53,60.0,-1.25,46.22,76,40,16.11
15,Ushuaia,AR,2023-01-10 13:53:54,-54.8,-68.3,51.46,71,75,17.27
16,Saint George,US,2023-01-10 13:53:54,37.1041,-113.5841,45.79,84,20,4.0
17,Airai,TL,2023-01-10 13:49:07,-8.9266,125.4092,61.3,93,69,0.4
18,Lavrentiya,RU,2023-01-10 13:53:55,65.5833,-171.0,-7.51,90,5,9.64
19,Berlevag,NO,2023-01-10 13:53:55,70.8578,29.0864,23.0,88,94,17.94
20,Mahebourg,MU,2023-01-10 13:53:56,-20.4081,57.7,81.25,88,75,11.5
21,Naron,ES,2023-01-10 13:53:56,43.5167,-8.1528,61.02,89,100,18.01
22,Hobart,AU,2023-01-10 13:50:14,-42.8794,147.3294,57.06,77,75,4.61
23,Saint-Philippe,RE,2023-01-10 13:53:57,-21.3585,55.7679,81.99,76,47,12.75
24,Punta Arenas,CL,2023-01-10 13:53:57,-53.15,-70.9167,55.51,58,0,16.11
25,Kloulklubed,PW,2023-01-10 13:49:06,7.0419,134.2556,75.7,79,100,18.19
26,Albany,US,2023-01-10 13:50:29,42.6001,-73.9662,35.06,80,100,1.01
27,Bengkulu,ID,2023-01-10 13:53:58,-3.8004,102.2655,76.23,88,69,1.52
28,Rikitea,PF,2023-01-10 13:53:58,-23.1203,-134.9692,78.04,77,59,14.09
29,Uray,RU,2023-01-10 13:53:59,60.1247,64.7758,7.75,77,100,12.86
30,Jamestown,US,2023-01-10 13:53:59,42.097,-79.2353,32.56,72,100,8.05
31,Chulakivka,UA,2023-01-10 13:54:00,46.3576,32.3514,36.86,77,96,24.02
32,Hermanus,ZA,2023-01-10 13:54:00,-34.4187,19.2345,73.8,66,5,12.3
33,Kavieng,PG,2023-01-10 13:54:00,-2.5744,150.7967,81.95,73,100,3.24
34,Saint-Joseph,RE,2023-01-10 13:54:01,-21.3667,55.6167,80.98,74,34,5.91
35,Tazovskiy,RU,2023-01-10 13:54:01,67.4667,78.7,-34.85,95,7,9.04
